skin,age,periode,content,buy,recommend,likes
"Dry, Medium, Neutral",25 - 29, 3 months - 6 months,"Hydrating toner yang gak kasih klaim aneh2, cukup melembabkan dan harganya terjangkau. Awal mulai pakai basic skincare aku selalu beli hada labo yang ini, alhamdulillah cocok sampai habis 3 botol dan beralih ke light lotion strip hijau. Gak ada keluhan sama sekali, cukup menghidrasi kulitku yg kering. Kalo ada yg kurang dari toner ini mungkin cuma packaging aja ð Desainnya kurang cantik, tapi mengingat harganya yg murah meriah, gak bisa komplain deh. ð", Tokopedia,recommends this product!,5
"Combination, Medium, Warm",18 and Under, 1 week - 1 month,"Awalnya ragu mau beli, tapi liat reviewnya jadi penasaran jugaa. Udah beberapa kali repurchase produk ini dan cocok cocok aja sih, aku pake ini sebagai toner, melembabkan, harganya juga terjangkau, bisa dipake buat beberapa bulan. biasanya aku pake lumayan banyak sih, tapi ga bikin minyakan di aku. jerawatku juga mendingan pake ini. sukaa", Shopee,recommends this product!,2
"Oily, Medium Dark, Warm",30 - 34, More than 1 year,"Toner kecintaan. Harganya terjangkau dan ampuh menyegarkan kulit setelah cuci muka. Nyaman, gak lengket, dan cukup menghidrasi. Aku pakai 2 layer dimalam hari dan 1 layer dipagi hari. Produknya aman untuk kulit sensitif dan tidak mengandung pewangi", Lazada,recommends this product!,0
"Oily, Medium, Warm",19 - 24, 3 months - 6 months,"tadinya pake yg buat oily terus ganti yg ini karena ternyata yg buat oily itu ada alkoholnya, overall efeknya sama aja ya dikulitku melembabkan yg ga over gitu nyaman aja, teksturnya cair aga kental, harga oke banget gampang juga dicari, repurcahe ofc", Shopee,recommends this product!,1
"Oily, Medium, Neutral",19 - 24, 3 months - 6 months,"Kulitku oily tp aku lebih suka yg ini daripads strip ijo. Teksturnya cair agak kentel sedikit, cukup 3-4 tetes udah bisa cover seluruh wajah. Gabikin bruntusan dan sebenernya gada efek apapun yg signifikan, cuma kerasa kulit lebih terhidrasi aja, untuk harga segini udah ga ngarep apa-apa sih. Mungkin yg kulit kering kurang moisturize yaa", Shopee,doesn't recommend this product! ,0
"Combination, Light, Cool",18 and Under, Less than 1 week,tadinya agaak takut pake merek hadalabo lagi karena sebelumnya pakek face wash nya malah gak cocok bangett banyak numbuh bruntusan terus numbuhin jerawat batu tapi setelah memberanikan diri pake hydrating toner nya beneran sebagus itu :(( nyesel kenapa ga pake dari dulu, Shopee,recommends this product!,0
"Dry, Medium Light, Neutral",19 - 24, More than 1 year,"Hydrating Toner tercinta, aku cocok pake hadalabo strip orange karena memang buat kulit kering aku pake sekitar 3 tetes aja udah cukup banget buat semuka, udahan nya muka langsung lembab ga bikin lengket nyaman pokoknya dah gitu ini awet banget lagi bener bener aweeeettt.", Watson,recommends this product!,0
"Normal, Medium, Neutral",19 - 24, More than 1 year,"Hydratoner ini free fragrance, ga berwarna juga. Tekturnya cair dan cepet meresap. Yang kulitnya normal to dry kayanya akan suka, karena hidrasinya berasa sih kalau di aku. Bisa di layer juga kalau muka lagi kekeringan, ga nimbulin beruntus atau apapun", Watson,recommends this product!,2
"Dry, Medium Light, Neutral",19 - 24, 6 months - 1 year,"Lumayan melembabkan dan tekstur nya ringan, mudah menyerap bikin muka seger, non perfume dan sangat ngebantu bgt untuk penyerapan step selanjutny, sangat affordable. Repurchase? Absolutely dah abis berbotol botol hehe", Shopee,recommends this product!,0
"Dry, Medium Light, Warm",19 - 24, 1 month - 3 months,"lotion/toner ini tuh tekstur nya encer dan cepet meresap. enteng banget dipake di wajah dan beneran ngelembab-in. tapi buat muka ku yang super kering agak kurang ngunci sih lembab nya. harus banget dibantu moisturizer. sebelumnya udah pernah pake produk lain yang tekstur nya lebih kentel dan ngunci banget lembabnya. kayakny aku bakal balik lagi ke produk itu deh. tapi buat yang kulitnya normal, oily, atau yang dry tapi ga parah produk ini bagus juga kok. dan juga harga nya murce shayy.", Shopee,recommends this product!,0
"Oily, Medium, Warm",19 - 24, 3 months - 6 months,"toner pertama memulai dunia per-skincare-an, lembabnya lumayan dan low price. dulu make karna ga paham dan nyari yang aman aja kandungannya. kalo buat asal agar mukanya dipakein skincare ini oke lah menurut aku. dan lebih baik dibanding yang strip ijo muda", Shopee,recommends this product!,0
"Combination, Medium Light, Neutral",19 - 24, 1 week - 1 month,"Jujur aku dah lupa berapa kali repuches produk ini, Hidrating toner murce yang gak banyak cingcong,untuk melembabkan di kulitku yang normal to dry oke, aku juga suka pake produk inj 2-4 layer. Dipake setelah pake peeling serum enakk banget", Shopee,recommends this product!,1
"Combination, Medium Light, Neutral",30 - 34, More than 1 year,"My very 1st skincare! Gak akan pernah lupa dan terlupakan deh. Pertama kali mulai aware sm skincare, produk yang aku coba ya si hadalabo ini. Belajar layering skincare ya lewat packaging nya hadalabo. Dan lotion ini bener2 ngebantu kulit wajah pemula memperbaiki keseimbangan minyak diwajah, memperbaiki skin barrier dan menghidrasi kulit. Beda bgd deh hasilnya sama waktu sebelum kenal skincare. Gak lengket, gak ada bau sama sekali.", Dan+Dan,recommends this product!,1
"Combination, Medium Light, Neutral",19 - 24, 1 week - 1 month,"suka bangett. walaupun kulitku oily, tapi ini melembapkannya pas dan ga bikin minyakan. harganya juga murcee dan kayanya bakal lama abis karena 3-4 tetes aja udah cukup buat semuka. selama pake ini aku juga notice minyak di area T zone berkurang.
minusnya dia ada kandungan paraben dan itu ada di urutan tengah", Tokopedia,recommends this product!,0
"Combination, Medium Light, Neutral",18 and Under, 1 month - 3 months,"so so sih ya. buat aku yang tend to oily, ini aga bikin minyakan, karena emang designed for dry skin. nglembabin? iya banget, pake dikit aja udh semuka makanya ga abisâ. mayan lah ya buat dijadiin hydra toner kedua, dipake cuma pas abis exfo soalnya kandungannya ga ada yang sensi sama kandungan exfo. oiya, ini ga bikin yang anehâ juga kok, jadi amanâ aja ð", Dan+Dan,recommends this product!,0
"Oily, Medium Dark, Neutral",18 and Under, 1 week - 1 month,"sayang bangett padahal berharap lebih sama lotion satu ini, kemakan karena keviralannya di tiktok yg katanya murah tapi bagus. lotion ini sama sekali ga cocok sama aku, bukannya nimbulin reaksi tapi dari aku yg ngerasanya sendiri, habis dipake muka jadi greasy banget, jari lengket parah. alhasil mau didiemin beberapa menit pun memang udah berkurang lengketnya cuman muka keliatan jadi minyakan parah, ga kerasa ngelembabin sama sekali malah ngerasanya makin minyakan. kalo kulit kalian minyakan juga kaya aku dan pori""nya gede, udah pls jangan beli ini. cuman mungkin untuk kulit kering ini bakal cocok ya, dan harganya yg murah bikin ini jadi affordable banget", Tokopedia,doesn't recommend this product! ,0
"Combination, Light, Neutral",19 - 24, 1 week - 1 month,"bagus for dry skin, bikin lembab dan glowing, harga juga affordable, walaupun namanya lotion tapi ini toner ya! dulu aku sempet pake yg strip ijo, tapi karna kondisi kulit berubah2 skrg ganti jadi strip orange buat dry skin, 2 2 nya oke banget!", Dan+Dan,recommends this product!,0
"Oily, Medium Light, Warm",19 - 24, 1 month - 3 months,salah satu moisturizer enak dan murah. bikin kulit lembab tapi kalau dibanding yang light lotion aku lebih suka yang strip ijo mungkin karna lebih ringan saat dipakai. produk ini mudah ditemui di e-commerce dan harganya terjangkau. hehehe, Tokopedia,recommends this product!,7
"Dry, Medium Light, Neutral",19 - 24, More than 1 year,"Untuk kulit super kering ky aku, sangat melembabkan. Dan emang ga ada efek apapun sih selain melembabkan. Tapi sangat membantu kalo mukanya lg kering banget. Harganya juga murah banget. Bisa dipake sampe 2 bulan lebih karena isinya banyak. Kadang aku buat untuk campuran masker, kadang aku juga pakai 2x yang taptap langsung sama pakai kapas.", Shopee,recommends this product!,0
"Normal, Medium Dark, Neutral",18 and Under, 1 week - 1 month,"Toner pertama yang aku coba. Cukup ngasih kesan yang baik. Cukup menghidrasi kulit, dan mencerahkan sedikit. Cuman kalau kulit lagi kering kurang menghidrasi dan pas awal2 pake muncul beberapa jerawat kecil. Bagus sih produknya, harganya juga terjangkau. Tapi mungkin bakal coba toner yg lain kalau toner ini abis.", Shopee,recommends this product!,0
"Oily, Medium Light, Warm",19 - 24, 3 months - 6 months,toner in luvv sukaak bgt di kulitku yg oily dia dapet bgt hidrasi nyaa. walaupun ini khusus normal to dy tp di kulit ku yg oily dia masi aman aman ajaa si ga sampee yg beratt bgt teskturnyaa. harganya jugaa super in luv dengan kualitas lembab yg nampoll, Shopee,recommends this product!,0
"Normal, Medium Light, Warm",19 - 24, More than 1 year,Hydrating toner ter mantul. Dari segi harga murah bangett. Isinya banyak. Nge hydrating nya juga mantapp banget. di aku yang kulitnya normal to oily enak pas ga berminyak. Udah abis 2 botol karna emang bagus bangettt dan akan terus repurchase, Shopee,recommends this product!,0
"Combination, Medium Light, Neutral",18 and Under, Less than 1 week,"Lotion ini udah jadi holy grail buat akuâ¡ cukup melembabkan di kulit aku yg kombinasi cenderung kering. Cepet nyerep juga di kulit aku, tiap abis bangun tidur, kulit ngerasa glowing sama plumpy gitu. Aku pake tiap pagi dan malem, dan ini lumayan lama sih abisnya.", Shopee,,0
"Combination, Medium, Neutral",18 and Under, 1 month - 3 months,"agak bingung sih sebenernya. ini tuh bikin mukaku terhidrasi banget, lembab kenyal gitu abis pake ini. tapi setelah bbrp malem pake ini muncul jerawat di pipi dan beruntusan di jidiat. dan jerawat aku yang lagi meradang yg tdnya putih2nya udh keluar, eh sakit lagi pas pake ini. bye bye hadalabo", Shopee,doesn't recommend this product! ,20
"Combination, Medium, Neutral",18 and Under, 3 months - 6 months,"teksturnya aga cair dan licin, pas di apply langsung meresap dan hydrate my skin. ingredients nya ga macem macem jadi aman dipakai di kulit sensitif juga menurutku, dan di kulitku yang kombinasi sih enak banget ya ga buat tambah berminyak dan very hydrate.. so lovee ðð", Lazada,recommends this product!,1
"Combination, Medium, Warm",19 - 24, 1 month - 3 months,"nemuin pelembab dan pertama kalinya coba pelembab karen aku baru mengenal skincare jadi masih awam, dan memutuskan coba ini. produknya oke, banyak yg recomendasi, ga bau aneh, non alkohol jugaa. dah langsung memutuskan check out dan hasilnya udah pake hampir 1 bulan, cocok dong dikulit aku yg rawan jerawat, bener2 bikin lembab .. okee recommended", Shopee,recommends this product!,1
"Combination, Medium, Neutral",18 and Under, 6 months - 1 year,"Pake ini rasanya ngelembabin, sesuai fungsi hydrating toner kebanyakan. Aku pake kurang lebih 4-5 tetes di wajah. Abis pake ini rasanya fresh, ga bikin berminyak. Meskipun kulitku normal-oily, tp pake ini cocok2 aja dan ttp lembapin dan ga bikin berminyak. Tp aku ga repurchase lagi, aku ganti jd produk yg sama tp yg strip ijo (for oily skin). Sama aja sih di aku efeknya. Recommended krn harga yg affordable dan efektivitas produk mantul banget", Shopee,recommends this product!,0
"Combination, Medium, Neutral",25 - 29, 3 months - 6 months,"waktu itu kebetulan yang ijo lagi habis, jadi aku beli yang oren aja, walau klaimnya untuk dry skin. tapi untungnya di kulitku ga kenapa-kenapa, teksturnya kayak air tapi sedikit lebih kental. di muka ku bikin lembab banget sih, walau agak lengket tapi gak masalah. bener-bener gak mengharapkan apa-apa selain buat hidrasi, dan itu dapat banget pas pake ini. buat yang kulitnya kering ini bagus banget sih", Shopee,recommends this product!,3
"Combination, Medium Light, Warm",19 - 24, More than 1 year,"udah 3 tahun pake toner hada labo ini pokoknya selalu aman deh cocok di kulit combiku. kalau abis nyobain skincare brand lain dan breakout biasanya aku langsung stop dan cuma pake si hada labo toner ini, pasti selalu membaik. pernah cobain yang ijo karena dulu sempet combi to oily tapi kurang cocok entah kenapa, jadi balik ke yang oren ini deh. senang harganya terjangkau juga.", Watson,recommends this product!,0
"Combination, Medium, Neutral",25 - 29, 1 month - 3 months,Aku udah 3 tahun pake toner hadalabo yg strip hijau karena mukaku emang oily. Trus iseng beli yg strip oren biar ga usah pake moisturizer lagi karena ini lebih kental. Ternyata aku lebih suka dan cocok yg strip hijau haha mana udah beli 2pcs :( , Shopee,recommends this product!,0
"Oily, Medium, Warm",18 and Under, 1 week - 1 month,untuk kulit ku yang oily bisa bgt si pake product ini walaupun teksturnya agak lengket tapi ga bikin greasy. kulit kerasa banget lembab nya dan lebih terasa plumpy cepet juga menyerap ke kulit. isinya juga banyak ga cepet abis walaopun di pake nya banyak banyak, Shopee,recommends this product!,1
"Combination, Light, Neutral",18 and Under, 1 month - 3 months,"teksturnya cair tapi rada lengket dan sedikit mengganggu, pertama pemakaian langsung kerasa efeknya. di pagi hari kulit jadi terhidrasi, dan setelah pemakaian habis 1 botol 30ml, kulit jadi sedikit lebih halus dan kenyal dari sebelum pemakaian. pakai ini karena rekomendasi dari dokter.", Watson,recommends this product!,0
"Combination, Medium, Warm",19 - 24, 1 week - 1 month,"hydrating toner yang memang benar2 bisa melembabkann wajah sihh ini, teksturnya cair sih namun agak sedikit kental gitu, enak banget dipakai wajah terasa kenyal juga, dipakai dikit juga terasa banget lembabnya, harga nya juga termasuk murce sih dgnn isi 100ml udh bsa dpt toner sebagus ini.", Shopee,recommends this product!,18
"Combination, Medium Light, Neutral","Combination, Medium Light, Neutral", 1 month - 3 months,tipe kulitku normal to dry + sensitif. dan toner ini bener bener ngebantu kulit keringku jadi lembab!!ð¤© gak buat jadi bruntusan apalagi jerawat cocok banget di kulitku yang kering dan sensitif inið­ teksturnya cair hampir mirip kayak air dan harganya juga murce bangetð¤©, Shopee,recommends this product!,2
"Combination, Medium, Warm",18 and Under, 3 months - 6 months,"best hydrating toner!. melembabkan banget, teksturnya cair tapi lebih kental dari air biasa dan terasa ringan di kulit, harganya juga murah saya beli sekitar 35 ribuan netto 100ml, 1 botol itu bisa dipake berbulan-bulan soalnya ngambil dikit aja udh cukup banget buat melembabkan wajah. Toner hada labo ini juga gak ada fragrance, pewarna, dan alkohol. intinya sih ini rekomended banget!", Tokopedia,recommends this product!,0
"Combination, Medium Light, Neutral",19 - 24, 1 month - 3 months,"pake ini awal tahun 2019 dan masih cocok, semenjak ganti toner dan balik lagi ke toner ini malah nimbulin beruntusan. padahal se-ringan dan melembapkan itu, kulit gue kayanya udah badak dan gak mempan pake ini lagið", Shopee,doesn't recommend this product! ,0
"Dry, Medium, Neutral",19 - 24, More than 1 year,"PENYELAMAT KULIT SENSITIF KUU!! Dulu sempet bermasalah sama skin barier (gampang jerawatan & bruntusan), pke ini 3 bln an Alhamdulillah sembuh, dan sekarang kulit ku bisa dibilang udahh ga sensitif lagii dehh, luvv bgtt ... btw waktu ituu aku pke ini + sunscreen skinaqua yg spf 25 (pink) + facial wash nya yg gojukyun (putih).", Shopee,recommends this product!,0
"Oily, Medium Light, Warm",19 - 24, 6 months - 1 year,"dulu banget aku pakai ini selama sekitar 1 tahun,dan memang rasanya saat pakai ini itu lembab banget,muka ga merasa jadi oily (i was normal to oily skin) tapi muka kelihatan glowing dan kenyal,ada toner lain yang aku pakai tapi so far ini lebih melembabkan tapi ga bikin wajah terlalu oily,teksturnya cair hampir kayak air,cepat meresap,harga nya murah karena 1 botol besar untuk 6 bulan saat aku pakai,lumayan gampang di cari di toko-toko semacam dan-dan/guardian,setau ku di indomart/alfamart yang aku kunjungi ini tuh ga tersedia.", Shopee,recommends this product!,0
